0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.00024063,0.00028343,0.00091681,0.0013589,0.0015829,0.0016248,0.0015161,0.0012713,0.00089589,0.00040043,-0.00018574,-0.00080555,-0.0013741,-0.0017899,-0.001957,-0.0018139,-0.0013604,-0.00068004,2.5581e-05,0.00033097,0
0,4.2147e-05,0.0021708,0.0043504,0.0059039,0.006705,0.0068078,0.0062877,0.0051971,0.0035798,0.0015092,-0.00087338,-0.0033364,-0.0055635,-0.007194,-0.0078982,-0.0074728,-0.0059355,-0.0035949,-0.0011066,0.00042147,0
0,0.0010694,0.0059127,0.01025,0.013252,0.014752,0.014829,0.013603,0.011175,0.0076491,0.0031995,-0.0018676,-0.0070772,-0.011798,-0.015318,-0.016982,-0.016371,-0.013495,-0.008923,-0.003835,-2.5357e-05,0
0,0.0028005,0.01148,0.01851,0.023175,0.025392,0.025316,0.023128,0.01898,0.013045,0.005608,-0.0028439,-0.011565,-0.019566,-0.025708,-0.02891,-0.028426,-0.024157,-0.01689,-0.0083449,-0.0010238,0
0,0.0051483,0.018718,0.028948,0.03546,0.0384,0.038071,0.034741,0.028619,0.019935,0.0090635,-0.0033461,-0.016291,-0.028404,-0.038061,-0.043621,-0.043824,-0.038276,-0.02786,-0.014846,-0.0025738,0
0,0.0080202,0.027412,0.041311,0.049857,0.053561,0.052947,0.048407,0.040205,0.028602,0.014018,-0.0027936,-0.020626,-0.037756,-0.052018,-0.061062,-0.062849,-0.056377,-0.042395,-0.023714,-0.0047502,0
0,0.011315,0.037297,0.055276,0.066047,0.070597,0.069751,0.064056,0.053831,0.039332,0.02096,-0.00052358,-0.0238,-0.046861,-0.066993,-0.080985,-0.0857,-0.079062,-0.061264,-0.035547,-0.0077276,0
0,0.014914,0.048059,0.070441,0.08361,0.089117,0.088158,0.081474,0.069443,0.052279,0.030283,0.0041145,-0.02494,-0.054721,-0.082038,-0.10274,-0.11227,-0.10684,-0.085376,-0.051178,-0.01179,0
0,0.018682,0.059338,0.086329,0.10201,0.10857,0.10764,0.1002,0.086708,0.067308,0.042129,0.011604,-0.023187,-0.060143,-0.09579,-0.12511,-0.14185,-0.13984,-0.11562,-0.071644,-0.017338,0
0,0.022478,0.070754,0.1024,0.12059,0.1282,0.12739,0.11944,0.1049,0.083854,0.056207,0.022058,-0.017905,-0.061906,-0.10652,-0.14613,-0.17283,-0.17742,-0.15255,-0.098092,-0.0249,0
0,0.026179,0.081961,0.11811,0.13859,0.14708,0.14633,0.13801,0.12283,0.10081,0.071639,0.035005,-0.0089458,-0.059052,-0.11237,-0.16325,-0.20253,-0.21771,-0.19595,-0.13159,-0.035146,0
0,0.029739,0.092752,0.13295,0.15519,0.16408,0.16311,0.1544,0.13886,0.11654,0.086896,0.049237,0.003081,-0.051258,-0.1118,-0.17361,-0.22718,-0.2572,-0.24411,-0.17277,-0.048906,0
0,0.033273,0.10319,0.14661,0.16957,0.17794,0.17611,0.16674,0.15099,0.12892,0.099868,0.062803,0.016651,-0.039204,-0.10411,-0.17468,-0.24242,-0.29068,-0.29323,-0.22116,-0.06719,0
0,0.037221,0.11378,0.15891,0.18081,0.18719,0.18352,0.173,0.157,0.13561,0.10809,0.073182,0.029383,-0.024741,-0.089955,-0.16505,-0.2441,-0.31162,-0.33681,-0.27424,-0.091186,0
0,0.04265,0.1256,0.16972,0.18768,0.18994,0.18317,0.17093,0.15461,0.13426,0.10906,0.077678,0.038394,-0.010711,-0.071528,-0.14513,-0.22939,-0.31314,-0.36563,-0.32608,-0.12207,0
0,0.051792,0.14,0.17807,0.1878,0.18339,0.17234,0.15804,0.14158,0.12276,0.10068,0.073965,0.040982,-0.00024842,-0.052121,-0.11736,-0.19782,-0.28941,-0.36835,-0.36595,-0.16013,0
0,0.068691,0.15667,0.17976,0.17603,0.16297,0.1475,0.13181,0.11611,0.099797,0.081833,0.060887,0.03563,0.0044198,-0.034924,-0.085572,-0.15197,-0.23753,-0.33304,-0.377,-0.20208,0
0,0.097873,0.1663,0.16201,0.14253,0.12261,0.10554,0.091097,0.078365,0.066275,0.053805,0.039745,0.023324,0.0034462,-0.021371,-0.05354,-0.097471,-0.16028,-0.25069,-0.3355,-0.23407,0
0,0.12604,0.13157,0.10108,0.077822,0.061007,0.049447,0.040918,0.034187,0.028228,0.022336,0.016107,0.0089414,0.00033763,-0.010339,-0.024055,-0.042557,-0.070628,-0.12499,-0.21266,-0.2128,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
